Fecha,Estacion,Temp_Min_C,Temp_Max_C,Temp_Media_C,Humedad_Relativa_%,Precipitacion_mm,Presion_hPa,Viento_m_s,Helada,Ubicacion,Temp_850hPa_C,Temp_700hPa_C,Temp_500hPa_C,Humedad_Especifica_g_kg,Viento_U_850hPa_m_s,Viento_V_850hPa_m_s,Velocidad_Viento_850hPa_m_s,Geopotencial_500hPa_m,Radiacion_OLR_W_m2
2015-01-01,Ayaviri,6.06,18.52,12.29,83.3,0.0,629.0,3.1,0,Puno_Region_Ayaviri,-2.49,-2.42,-13.91,2.53,11.88,-0.74,11.9,5530.6,242.7
2015-01-02,Ayaviri,6.64,27.99,17.32,67.4,0.0,624.5,3.1,0,Puno_Region_Ayaviri,0.18,-0.78,-11.6,3.22,1.98,3.97,4.43,5548.0,225.9
2015-01-03,Ayaviri,5.0,26.67,15.83,82.0,0.0,630.0,3.4,0,Puno_Region_Ayaviri,3.6,-1.25,-19.73,3.22,0.04,10.84,10.84,5505.8,205.1
2015-01-04,Ayaviri,5.47,18.34,11.9,68.1,0.0,631.2,7.3,0,Puno_Region_Ayaviri,2.01,-9.02,-15.64,1.86,4.81,2.62,5.47,5491.8,260.5
2015-01-05,Ayaviri,2.79,21.52,12.15,58.2,3.9,626.2,5.2,0,Puno_Region_Ayaviri,-5.03,-6.37,-14.47,3.52,-6.63,2.8,7.2,5546.9,185.8
2015-01-06,Ayaviri,-0.54,14.65,7.05,58.2,12.1,623.5,3.0,1,Puno_Region_Ayaviri,2.81,-4.86,-16.39,2.5,-6.44,0.71,6.48,5526.1,254.8
2015-01-07,Ayaviri,6.66,23.67,15.16,79.2,8.5,623.5,1.9,0,Puno_Region_Ayaviri,-0.18,-6.25,-13.09,3.76,0.44,5.32,5.34,5493.9,189.4
2015-01-08,Ayaviri,3.73,22.5,13.12,79.7,0.0,629.1,4.2,0,Puno_Region_Ayaviri,5.73,-5.02,-19.77,2.81,-0.73,3.83,3.9,5324.2,194.2
2015-01-09,Ayaviri,6.88,19.34,13.11,69.2,0.0,629.3,5.3,0,Puno_Region_Ayaviri,0.23,-6.93,-13.47,3.95,-6.3,-7.13,9.51,5467.8,258.1
2015-01-10,Ayaviri,8.21,29.35,18.78,83.9,0.0,626.8,3.7,0,Puno_Region_Ayaviri,1.76,-6.18,-14.48,3.23,-6.84,-1.45,6.99,5457.7,225.9
2015-01-11,Ayaviri,5.8,21.0,13.4,73.3,0.0,631.9,5.8,0,Puno_Region_Ayaviri,-3.06,-5.66,-16.78,2.71,-6.25,5.37,8.24,5453.4,223.4
2015-01-12,Ayaviri,6.46,22.89,14.68,82.7,0.0,631.5,5.2,0,Puno_Region_Ayaviri,5.17,-1.33,-15.96,3.66,-2.75,5.26,5.94,5576.7,178.5
2015-01-13,Ayaviri,2.1,14.37,8.24,59.3,0.0,633.2,0.5,0,Puno_Region_Ayaviri,4.79,-8.41,-14.74,3.21,5.41,1.27,5.56,5527.0,210.4
2015-01-14,Ayaviri,7.76,21.71,14.73,75.5,4.4,628.4,1.4,0,Puno_Region_Ayaviri,-7.2,-5.82,-15.2,4.25,-8.36,0.07,8.36,5500.6,238.8
2015-01-15,Ayaviri,1.34,21.93,11.64,82.8,1.0,626.0,3.9,0,Puno_Region_Ayaviri,2.88,-6.26,-14.05,3.46,-2.9,6.23,6.87,5504.6,240.3
2015-01-16,Ayaviri,4.44,23.05,13.74,79.2,1.0,632.4,5.9,0,Puno_Region_Ayaviri,-0.66,-4.88,-14.83,3.75,14.02,-5.11,14.92,5495.6,214.0
2015-01-17,Ayaviri,3.12,17.5,10.31,82.7,15.2,629.8,7.4,0,Puno_Region_Ayaviri,0.35,-7.43,-16.49,3.36,-2.24,7.34,7.67,5480.3,250.6
2015-01-18,Ayaviri,5.66,24.17,14.92,79.7,0.0,627.0,4.0,0,Puno_Region_Ayaviri,-2.35,-9.79,-12.69,3.52,-12.07,-2.15,12.26,5563.4,312.2
2015-01-19,Ayaviri,5.25,21.98,13.61,83.3,0.4,630.8,0.5,0,Puno_Region_Ayaviri,-2.44,-2.04,-21.84,4.26,9.9,6.11,11.63,5487.0,157.0
2015-01-20,Ayaviri,1.64,20.98,11.31,72.2,5.9,628.5,0.9,0,Puno_Region_Ayaviri,-1.08,-4.45,-21.92,3.11,3.83,-0.78,3.91,5543.5,232.2
2015-01-21,Ayaviri,3.94,19.24,11.59,71.5,0.0,621.0,4.5,0,Puno_Region_Ayaviri,-2.28,-1.72,-9.26,2.67,4.13,8.08,9.08,5449.8,220.8
2015-01-22,Ayaviri,1.92,12.97,7.45,61.0,0.0,626.0,6.1,0,Puno_Region_Ayaviri,-2.94,1.38,-14.72,4.46,1.37,-5.61,5.77,5501.7,200.5
2015-01-23,Ayaviri,3.79,24.32,14.05,59.2,0.0,624.2,3.1,0,Puno_Region_Ayaviri,-0.68,-5.1,-18.11,3.71,0.05,0.05,0.07,5581.0,210.2
2015-01-24,Ayaviri,6.13,20.98,13.55,82.3,0.0,623.4,1.6,0,Puno_Region_Ayaviri,-2.95,-5.9,-11.77,4.13,4.61,4.23,6.26,5454.5,201.0
2015-01-25,Ayaviri,1.39,18.33,9.86,64.9,2.1,638.5,3.6,0,Puno_Region_Ayaviri,-2.15,-1.14,-5.19,3.61,0.42,7.6,7.61,5504.5,224.2
2015-01-26,Ayaviri,9.36,24.18,16.77,75.4,8.8,622.2,5.8,0,Puno_Region_Ayaviri,-4.09,-11.87,-12.84,3.96,0.85,3.94,4.03,5489.8,276.9
2015-01-27,Ayaviri,3.87,24.42,14.14,72.5,7.0,633.2,3.5,0,Puno_Region_Ayaviri,-1.36,0.14,-13.92,2.86,-3.7,1.78,4.1,5553.8,207.1
2015-01-28,Ayaviri,6.74,21.21,13.97,64.4,0.0,628.7,5.5,0,Puno_Region_Ayaviri,-8.61,-5.15,-16.36,3.36,-3.8,3.15,4.94,5551.7,230.5
2015-01-29,Ayaviri,10.61,24.56,17.58,89.2,0.0,639.3,3.0,0,Puno_Region_Ayaviri,3.78,-1.78,-13.67,3.67,-6.9,-1.06,6.98,5544.3,215.1
2015-01-30,Ayaviri,0.79,18.59,9.69,72.3,0.0,624.7,4.6,0,Puno_Region_Ayaviri,-3.07,-4.41,-22.44,3.8,-7.97,-4.61,9.21,5367.1,186.6
2015-01-31,Ayaviri,3.67,18.79,11.23,75.1,0.0,627.9,1.0,0,Puno_Region_Ayaviri,1.29,-0.65,-16.29,3.22,-1.5,1.61,2.2,5569.9,237.1
