Fecha,Estacion,Temp_Min_C,Temp_Max_C,Temp_Media_C,Humedad_Relativa_%,Precipitacion_mm,Presion_hPa,Viento_m_s,Helada,Ubicacion,Temp_850hPa_C,Temp_700hPa_C,Temp_500hPa_C,Humedad_Especifica_g_kg,Viento_U_850hPa_m_s,Viento_V_850hPa_m_s,Velocidad_Viento_850hPa_m_s,Geopotencial_500hPa_m,Radiacion_OLR_W_m2
2015-01-01,Azangaro,4.12,16.01,10.07,79.7,0.0,637.6,2.0,0,Puno_Region_Azangaro,-3.9,-7.73,-6.71,2.65,-2.11,-2.23,3.07,5452.8,201.6
2015-01-02,Azangaro,9.28,22.38,15.83,73.0,0.0,640.7,3.1,0,Puno_Region_Azangaro,-0.28,-1.82,-14.28,2.43,-1.4,-3.45,3.72,5469.6,261.8
2015-01-03,Azangaro,9.1,28.84,18.97,52.5,12.2,631.8,10.3,0,Puno_Region_Azangaro,0.2,-8.02,-13.93,2.66,-1.68,-4.2,4.52,5556.5,202.3
2015-01-04,Azangaro,1.96,15.06,8.51,74.7,0.0,633.1,4.7,0,Puno_Region_Azangaro,5.55,-6.66,-14.99,3.8,-5.64,-0.2,5.64,5561.1,227.7
2015-01-05,Azangaro,2.29,12.73,7.51,95.0,5.3,623.6,7.3,0,Puno_Region_Azangaro,4.09,-3.85,-21.43,3.1,-5.29,0.18,5.29,5545.9,263.8
2015-01-06,Azangaro,1.66,14.02,7.84,71.5,0.0,625.5,4.9,0,Puno_Region_Azangaro,-0.58,-4.99,-14.72,3.79,-11.49,-2.14,11.69,5498.6,164.0
2015-01-07,Azangaro,10.58,22.32,16.45,67.0,0.0,628.8,6.4,0,Puno_Region_Azangaro,-3.55,-3.9,-29.01,3.51,-0.84,-2.38,2.53,5459.9,195.6
2015-01-08,Azangaro,6.13,22.33,14.23,76.6,0.0,634.9,1.5,0,Puno_Region_Azangaro,3.03,-9.62,-4.7,2.99,16.03,-2.78,16.27,5576.7,180.9
2015-01-09,Azangaro,5.76,26.55,16.15,73.2,0.0,633.9,1.3,0,Puno_Region_Azangaro,-2.57,-1.6,-11.89,3.47,0.0,4.29,4.29,5447.3,253.1
2015-01-10,Azangaro,7.26,21.12,14.19,62.5,0.0,622.7,5.7,0,Puno_Region_Azangaro,0.48,-7.47,-11.99,2.53,1.84,-4.66,5.01,5510.2,201.6
2015-01-11,Azangaro,3.44,15.88,9.66,62.9,0.0,628.5,1.2,0,Puno_Region_Azangaro,-2.04,-3.41,-17.96,4.26,-0.72,-6.21,6.25,5559.5,222.6
2015-01-12,Azangaro,5.36,21.39,13.38,78.8,0.0,626.3,1.4,0,Puno_Region_Azangaro,2.37,-5.5,-12.77,2.94,1.92,-2.87,3.46,5538.9,246.9
2015-01-13,Azangaro,2.83,19.1,10.96,74.1,0.0,634.1,3.7,0,Puno_Region_Azangaro,-4.65,-4.94,-12.86,3.07,-0.88,3.48,3.59,5431.7,218.0
2015-01-14,Azangaro,7.27,27.03,17.15,70.5,0.0,628.3,4.8,0,Puno_Region_Azangaro,2.46,-6.37,-13.68,3.68,10.49,7.48,12.88,5498.7,222.0
2015-01-15,Azangaro,3.34,18.01,10.68,79.0,0.0,623.4,3.5,0,Puno_Region_Azangaro,3.49,-6.84,-17.39,3.84,-2.56,1.92,3.2,5442.4,201.0
2015-01-16,Azangaro,6.58,27.47,17.03,95.0,0.0,632.3,5.9,0,Puno_Region_Azangaro,-6.9,-7.26,-13.93,3.24,-2.49,-1.12,2.73,5455.2,278.0
2015-01-17,Azangaro,8.29,23.65,15.97,89.4,0.0,633.0,9.9,0,Puno_Region_Azangaro,-0.14,-4.88,-12.85,3.47,-0.42,-4.29,4.31,5562.0,242.2
2015-01-18,Azangaro,5.3,18.03,11.67,76.4,0.0,629.9,6.4,0,Puno_Region_Azangaro,0.68,-7.12,-15.45,3.67,-1.8,3.11,3.6,5426.9,211.6
2015-01-19,Azangaro,7.62,20.25,13.94,73.4,0.0,627.5,12.8,0,Puno_Region_Azangaro,1.38,-4.24,-8.31,3.81,3.13,0.92,3.27,5494.6,225.2
2015-01-20,Azangaro,2.48,14.67,8.58,65.2,6.5,632.4,0.5,0,Puno_Region_Azangaro,0.57,-3.32,-13.4,3.3,-2.41,1.82,3.02,5501.1,254.6
2015-01-21,Azangaro,2.48,18.62,10.55,74.1,2.9,637.5,2.8,0,Puno_Region_Azangaro,1.28,-5.41,-24.3,3.93,-3.63,-8.15,8.93,5512.4,187.4
2015-01-22,Azangaro,5.96,16.3,11.13,90.2,0.0,634.2,3.9,0,Puno_Region_Azangaro,2.83,-12.76,-16.39,3.72,-1.76,-2.91,3.4,5483.1,195.5
2015-01-23,Azangaro,4.82,23.57,14.19,76.8,0.0,633.0,3.1,0,Puno_Region_Azangaro,-5.6,-5.32,-25.43,4.39,-8.07,3.3,8.72,5404.4,280.6
2015-01-24,Azangaro,1.77,22.17,11.97,66.2,0.0,620.1,18.3,0,Puno_Region_Azangaro,-1.02,-3.29,-15.66,3.85,-3.12,-7.57,8.19,5504.8,168.2
2015-01-25,Azangaro,4.03,18.01,11.02,67.0,0.9,635.8,1.7,0,Puno_Region_Azangaro,-1.07,-3.66,-20.02,5.15,8.51,-1.09,8.58,5477.2,240.1
2015-01-26,Azangaro,8.19,19.63,13.91,94.5,0.0,630.6,3.6,0,Puno_Region_Azangaro,-3.91,-7.08,-14.5,3.51,-1.73,-8.09,8.28,5558.9,209.1
2015-01-27,Azangaro,3.36,17.04,10.2,66.4,42.4,637.1,1.7,0,Puno_Region_Azangaro,6.1,-10.22,-19.93,3.69,-7.65,1.24,7.75,5530.4,248.2
2015-01-28,Azangaro,5.12,23.13,14.13,62.6,0.0,636.7,3.2,0,Puno_Region_Azangaro,-4.11,-8.43,-9.25,3.22,-4.82,-0.77,4.88,5489.8,213.3
2015-01-29,Azangaro,4.01,18.84,11.43,89.6,0.0,631.7,0.6,0,Puno_Region_Azangaro,1.04,-3.91,-17.33,4.63,-0.81,4.57,4.64,5400.2,178.6
