Fecha,Estacion,Temp_Min_C,Temp_Max_C,Temp_Media_C,Humedad_Relativa_%,Precipitacion_mm,Presion_hPa,Viento_m_s,Helada,Ubicacion,Temp_850hPa_C,Temp_700hPa_C,Temp_500hPa_C,Humedad_Especifica_g_kg,Viento_U_850hPa_m_s,Viento_V_850hPa_m_s,Velocidad_Viento_850hPa_m_s,Geopotencial_500hPa_m,Radiacion_OLR_W_m2
2015-01-01,Juliaca,6.64,24.42,15.53,75.2,6.2,620.4,2.2,0,Puno_Region_Juliaca,-2.5,-3.8,-11.4,2.72,-8.27,-3.55,9.0,5404.1,233.9
2015-01-02,Juliaca,3.72,20.36,12.04,74.5,37.6,634.6,3.9,0,Puno_Region_Juliaca,3.71,-6.39,-12.45,2.09,1.87,1.41,2.34,5433.0,181.7
2015-01-03,Juliaca,5.04,24.87,14.95,56.7,1.2,626.4,2.5,0,Puno_Region_Juliaca,-7.44,-6.26,-16.82,2.74,3.19,4.68,5.67,5558.0,213.3
2015-01-04,Juliaca,4.64,21.58,13.11,83.6,2.4,632.0,6.8,0,Puno_Region_Juliaca,-3.13,-0.26,-13.04,2.41,-6.51,-0.58,6.53,5498.9,226.2
2015-01-05,Juliaca,8.11,25.21,16.66,64.4,7.7,623.6,4.9,0,Puno_Region_Juliaca,2.96,-5.4,-16.44,3.12,-6.39,1.08,6.48,5471.3,246.3
2015-01-06,Juliaca,4.92,18.13,11.53,64.3,0.0,634.0,1.3,0,Puno_Region_Juliaca,0.5,-3.45,-14.93,2.73,4.33,0.14,4.33,5484.9,236.0
2015-01-07,Juliaca,7.18,24.06,15.62,77.1,16.6,623.6,2.6,0,Puno_Region_Juliaca,-1.51,-4.62,-17.39,3.44,0.25,-3.82,3.83,5462.2,239.3
2015-01-08,Juliaca,10.94,25.54,18.24,64.6,0.0,622.2,0.6,0,Puno_Region_Juliaca,-1.38,-4.84,-14.59,3.34,-0.36,2.76,2.78,5522.6,215.5
2015-01-09,Juliaca,9.05,23.43,16.24,74.0,0.0,634.9,2.8,0,Puno_Region_Juliaca,-0.82,-6.29,-10.1,2.91,-0.36,-5.1,5.12,5467.9,201.7
2015-01-10,Juliaca,4.77,19.73,12.25,75.1,0.0,638.6,0.6,0,Puno_Region_Juliaca,-1.49,-2.67,-20.96,2.36,-0.76,-5.5,5.55,5479.4,184.0
