Fecha,Estacion,Temp_Min_C,Temp_Max_C,Temp_Media_C,Humedad_Relativa_%,Precipitacion_mm,Presion_hPa,Viento_m_s,Helada,Ubicacion,Temp_850hPa_C,Temp_700hPa_C,Temp_500hPa_C,Humedad_Especifica_g_kg,Viento_U_850hPa_m_s,Viento_V_850hPa_m_s,Velocidad_Viento_850hPa_m_s,Geopotencial_500hPa_m,Radiacion_OLR_W_m2
2015-01-01,Lampa,7.46,24.75,16.11,80.3,2.6,626.9,1.3,0,Puno_Region_Lampa,7.19,-3.04,-9.58,3.1,-5.3,0.73,5.35,5474.5,239.0
2015-01-02,Lampa,9.07,22.4,15.73,81.5,0.0,622.8,2.0,0,Puno_Region_Lampa,-0.12,-2.2,-15.48,2.8,-2.01,1.46,2.48,5463.0,194.2
2015-01-03,Lampa,8.04,23.53,15.78,79.1,9.4,624.0,1.8,0,Puno_Region_Lampa,-3.17,-7.81,-17.59,2.97,6.62,4.39,7.95,5478.2,244.9
2015-01-04,Lampa,3.98,19.67,11.82,56.3,0.0,637.7,1.3,0,Puno_Region_Lampa,-2.66,-2.07,-9.78,3.46,-7.05,0.79,7.1,5461.7,246.5
2015-01-05,Lampa,6.99,18.93,12.96,86.0,0.0,630.3,2.9,0,Puno_Region_Lampa,2.04,-10.21,-12.04,3.0,2.02,4.31,4.76,5506.8,211.1
2015-01-06,Lampa,5.51,17.32,11.41,55.5,0.0,629.7,2.6,0,Puno_Region_Lampa,-0.88,-7.81,-17.71,4.16,11.17,-6.01,12.68,5522.1,226.6
2015-01-07,Lampa,5.75,20.35,13.05,74.3,2.3,633.2,2.6,0,Puno_Region_Lampa,-4.61,-4.44,-9.45,3.25,-0.32,-0.43,0.53,5481.4,196.9
2015-01-08,Lampa,4.5,15.79,10.15,63.0,0.0,629.1,1.7,0,Puno_Region_Lampa,2.04,-9.24,-17.65,3.5,-3.32,7.27,7.99,5467.2,216.3
2015-01-09,Lampa,5.66,19.76,12.71,49.6,0.0,634.5,2.0,0,Puno_Region_Lampa,-0.16,-5.92,-12.0,3.76,3.86,5.61,6.81,5521.5,209.9
2015-01-10,Lampa,8.01,23.78,15.9,62.9,0.0,627.4,9.9,0,Puno_Region_Lampa,0.54,2.54,-12.38,3.95,-3.74,4.64,5.96,5639.9,206.2
2015-01-11,Lampa,3.69,23.44,13.56,56.5,0.0,642.7,0.6,0,Puno_Region_Lampa,-2.73,-9.1,-17.53,2.85,-1.22,-4.64,4.8,5451.0,216.6
2015-01-12,Lampa,5.86,20.11,12.99,68.1,0.0,636.4,2.4,0,Puno_Region_Lampa,2.74,-4.93,-20.02,3.73,-1.77,3.98,4.36,5554.2,231.1
2015-01-13,Lampa,9.7,21.91,15.81,59.7,0.0,635.3,9.6,0,Puno_Region_Lampa,-2.82,-3.48,-14.91,3.39,4.46,-1.47,4.7,5567.8,193.0
2015-01-14,Lampa,4.58,22.6,13.59,89.5,0.0,640.3,7.0,0,Puno_Region_Lampa,1.02,0.39,-13.3,3.47,5.89,-5.55,8.09,5505.0,202.4
2015-01-15,Lampa,4.74,21.9,13.32,63.8,0.0,634.6,1.1,0,Puno_Region_Lampa,-3.13,-3.06,-11.52,3.12,-6.56,-0.5,6.58,5519.5,241.2
2015-01-16,Lampa,7.72,25.05,16.39,65.7,0.0,630.4,5.9,0,Puno_Region_Lampa,3.85,-4.19,-17.22,3.71,6.13,-5.76,8.41,5412.7,220.9
2015-01-17,Lampa,5.83,23.66,14.75,56.3,0.0,627.6,4.3,0,Puno_Region_Lampa,2.57,-1.58,-21.81,3.12,0.97,2.81,2.97,5558.2,231.4
2015-01-18,Lampa,5.35,18.56,11.96,65.1,0.0,638.5,10.6,0,Puno_Region_Lampa,3.57,-4.67,-16.55,3.26,-2.36,-4.91,5.45,5474.8,211.0
2015-01-19,Lampa,9.61,24.93,17.27,48.8,0.4,632.6,5.8,0,Puno_Region_Lampa,-0.62,-12.59,-18.33,3.62,-5.11,4.99,7.15,5512.6,274.5
2015-01-20,Lampa,2.17,14.95,8.56,80.1,0.0,630.1,6.5,0,Puno_Region_Lampa,9.04,-9.79,-9.33,4.46,-2.0,1.54,2.53,5483.7,180.5
2015-01-21,Lampa,5.12,20.32,12.72,43.2,17.7,630.7,1.6,0,Puno_Region_Lampa,-0.78,-0.31,-15.29,3.25,-5.32,-1.38,5.5,5475.7,248.3
2015-01-22,Lampa,4.21,18.52,11.36,68.3,0.0,632.5,4.5,0,Puno_Region_Lampa,3.97,-5.85,-14.35,4.0,3.09,2.66,4.07,5541.7,176.7
2015-01-23,Lampa,1.37,18.88,10.12,63.5,0.0,614.4,9.4,0,Puno_Region_Lampa,1.65,-7.48,-16.21,3.59,4.68,-3.41,5.79,5424.5,219.5
2015-01-24,Lampa,3.13,15.22,9.17,84.5,1.6,628.7,1.1,0,Puno_Region_Lampa,-4.59,-2.53,-13.8,3.27,-8.74,1.71,8.91,5441.9,225.8
2015-01-25,Lampa,5.16,19.86,12.51,80.9,0.5,625.9,4.9,0,Puno_Region_Lampa,-5.46,-5.84,-6.81,3.91,-1.93,3.74,4.21,5524.9,195.0
2015-01-26,Lampa,1.36,19.05,10.21,63.9,0.0,631.9,4.6,0,Puno_Region_Lampa,2.36,-5.3,-12.05,3.9,-2.93,-3.28,4.4,5520.1,228.0
2015-01-27,Lampa,4.81,18.72,11.76,80.5,0.0,631.7,2.0,0,Puno_Region_Lampa,-0.07,-6.56,-15.25,3.95,-0.94,-2.31,2.5,5371.0,181.7
2015-01-28,Lampa,4.4,21.53,12.97,72.2,5.6,631.2,8.8,0,Puno_Region_Lampa,3.3,-10.66,-20.7,4.17,-3.58,2.63,4.44,5551.5,256.3
2015-01-29,Lampa,7.48,21.43,14.45,77.7,0.0,627.7,3.3,0,Puno_Region_Lampa,3.58,-0.83,-13.7,3.9,-2.32,5.05,5.56,5544.9,215.2
2015-01-30,Lampa,5.72,15.06,10.39,73.9,0.0,622.1,1.9,0,Puno_Region_Lampa,1.61,-9.29,-12.3,4.17,7.95,-7.14,10.69,5545.3,209.0
2015-01-31,Lampa,4.76,19.36,12.06,83.1,0.0,629.8,0.9,0,Puno_Region_Lampa,1.94,-4.87,-10.31,3.83,2.86,3.71,4.68,5540.7,202.9
2015-02-01,Lampa,4.61,16.8,10.71,71.5,14.8,633.6,4.9,0,Puno_Region_Lampa,0.41,-9.57,-16.63,4.08,-4.69,6.15,7.73,5557.0,246.1
2015-02-02,Lampa,3.6,21.14,12.37,79.2,4.5,626.5,5.4,0,Puno_Region_Lampa,-0.11,-4.77,-13.17,3.98,10.76,-4.26,11.58,5497.6,248.8
2015-02-03,Lampa,3.43,21.35,12.39,58.0,0.0,631.0,3.8,0,Puno_Region_Lampa,0.08,-4.67,-12.51,3.76,1.27,2.28,2.61,5472.3,225.7
2015-02-04,Lampa,4.68,19.95,12.32,62.6,8.3,633.3,2.5,0,Puno_Region_Lampa,-2.57,-7.86,-19.5,4.44,-8.92,0.88,8.96,5559.1,227.2
2015-02-05,Lampa,2.03,15.82,8.93,74.1,0.0,630.4,5.2,0,Puno_Region_Lampa,3.69,-5.91,-16.33,4.49,9.45,-5.0,10.69,5459.2,210.0
2015-02-06,Lampa,0.81,17.75,9.28,72.7,1.2,641.9,2.3,0,Puno_Region_Lampa,-6.01,-8.64,-17.9,4.68,-2.33,0.18,2.33,5491.4,262.9
2015-02-07,Lampa,3.41,20.93,12.17,74.9,1.0,630.1,3.3,0,Puno_Region_Lampa,1.13,-4.84,-11.78,4.37,-3.17,1.25,3.41,5515.3,256.9
2015-02-08,Lampa,5.36,24.63,15.0,71.4,13.6,625.0,1.4,0,Puno_Region_Lampa,0.67,-7.6,-16.06,4.29,5.18,1.74,5.46,5478.9,188.7
2015-02-09,Lampa,2.12,17.14,9.63,80.3,0.0,627.6,7.9,0,Puno_Region_Lampa,-0.77,-5.8,-17.61,3.49,-4.26,2.84,5.12,5499.0,254.1
2015-02-10,Lampa,-2.69,12.22,4.76,52.5,0.0,628.8,4.2,1,Puno_Region_Lampa,1.47,-8.58,-19.87,4.6,2.94,4.05,5.0,5453.8,171.9
2015-02-11,Lampa,5.21,15.86,10.53,65.7,0.0,621.0,3.4,0,Puno_Region_Lampa,-6.17,-4.3,-16.19,3.41,-1.57,-3.26,3.62,5462.5,212.3
2015-02-12,Lampa,3.85,17.03,10.44,63.5,0.0,632.4,3.7,0,Puno_Region_Lampa,-0.48,-5.27,-18.89,3.74,-3.76,6.86,7.82,5525.7,195.1
2015-02-13,Lampa,2.78,22.79,12.79,72.9,0.0,624.2,2.7,0,Puno_Region_Lampa,0.35,-6.13,-19.45,3.32,1.85,0.28,1.88,5534.9,203.1
2015-02-14,Lampa,3.28,25.65,14.46,67.3,0.0,629.0,1.5,0,Puno_Region_Lampa,-6.77,-8.57,-14.68,5.0,-0.49,6.93,6.95,5578.1,231.3
2015-02-15,Lampa,4.7,23.0,13.85,58.7,62.9,630.8,2.9,0,Puno_Region_Lampa,-3.02,-9.67,-19.79,3.93,2.99,-0.22,3.0,5463.0,214.3
2015-02-16,Lampa,6.44,22.52,14.48,81.0,11.9,624.9,2.1,0,Puno_Region_Lampa,-6.45,-3.32,-14.98,4.43,4.34,5.47,6.98,5497.6,196.9
