Fecha,Estacion,Temp_Min_C,Temp_Max_C,Temp_Media_C,Humedad_Relativa_%,Precipitacion_mm,Presion_hPa,Viento_m_s,Helada,Ubicacion,Temp_850hPa_C,Temp_700hPa_C,Temp_500hPa_C,Humedad_Especifica_g_kg,Viento_U_850hPa_m_s,Viento_V_850hPa_m_s,Velocidad_Viento_850hPa_m_s,Geopotencial_500hPa_m,Radiacion_OLR_W_m2
2015-01-01,Puno_Ciudad,7.24,19.76,13.5,80.2,0.0,630.7,1.0,0,Puno_Region_Puno_Ciudad,0.39,-7.92,-10.3,2.75,-3.19,4.7,5.68,5561.1,219.9
2015-01-02,Puno_Ciudad,5.65,21.1,13.37,84.4,0.0,628.5,1.0,0,Puno_Region_Puno_Ciudad,2.7,-7.59,-11.25,2.72,14.47,3.42,14.87,5469.2,273.8
2015-01-03,Puno_Ciudad,7.6,23.7,15.65,59.5,0.0,630.0,5.0,0,Puno_Region_Puno_Ciudad,3.01,-1.94,-15.23,3.39,-7.83,3.0,8.39,5518.6,247.4
2015-01-04,Puno_Ciudad,9.78,24.81,17.29,60.3,1.2,632.0,2.1,0,Puno_Region_Puno_Ciudad,1.4,-2.1,-20.92,2.78,-3.65,-0.69,3.72,5515.7,191.0
2015-01-05,Puno_Ciudad,5.38,14.12,9.75,65.5,15.2,629.1,11.1,0,Puno_Region_Puno_Ciudad,-1.0,-4.75,-17.28,2.94,0.64,-1.08,1.26,5493.4,287.0
2015-01-06,Puno_Ciudad,5.36,20.85,13.11,62.4,0.0,624.9,4.0,0,Puno_Region_Puno_Ciudad,-0.82,-4.27,-15.64,2.93,-6.13,-8.47,10.46,5515.1,235.9
2015-01-07,Puno_Ciudad,9.88,31.52,20.7,72.2,0.0,623.0,6.4,0,Puno_Region_Puno_Ciudad,-1.15,-11.0,-17.55,3.43,-5.27,3.91,6.57,5482.8,228.8
2015-01-08,Puno_Ciudad,7.83,21.75,14.79,50.5,5.8,643.0,3.9,0,Puno_Region_Puno_Ciudad,4.38,-5.02,-13.29,3.96,-1.8,0.23,1.82,5467.9,199.5
2015-01-09,Puno_Ciudad,4.72,17.54,11.13,58.8,12.1,624.4,1.1,0,Puno_Region_Puno_Ciudad,3.83,-4.02,-20.07,2.7,4.07,0.01,4.07,5448.2,206.8
2015-01-10,Puno_Ciudad,7.23,23.35,15.29,85.4,0.0,627.4,1.5,0,Puno_Region_Puno_Ciudad,-1.66,-3.81,-16.24,3.47,-4.81,0.33,4.82,5584.2,214.6
2015-01-11,Puno_Ciudad,4.69,20.62,12.65,60.7,0.0,632.6,1.7,0,Puno_Region_Puno_Ciudad,-1.71,-8.89,-13.34,3.25,0.54,5.8,5.82,5555.5,175.7
2015-01-12,Puno_Ciudad,4.65,23.23,13.94,82.4,0.0,631.8,4.7,0,Puno_Region_Puno_Ciudad,1.25,-6.6,-18.1,2.4,7.99,4.01,8.93,5542.9,237.1
2015-01-13,Puno_Ciudad,6.39,17.62,12.0,73.6,10.0,632.6,3.2,0,Puno_Region_Puno_Ciudad,-1.14,-3.19,-21.26,2.86,-4.58,6.68,8.1,5489.2,200.0
2015-01-14,Puno_Ciudad,0.97,18.16,9.57,51.9,0.0,627.8,0.5,0,Puno_Region_Puno_Ciudad,-2.46,-5.09,-24.7,3.73,5.77,-1.06,5.87,5504.3,173.9
2015-01-15,Puno_Ciudad,1.4,18.18,9.79,76.4,0.0,631.2,5.3,0,Puno_Region_Puno_Ciudad,2.69,-6.8,-16.28,3.53,-0.2,-1.24,1.25,5465.6,261.2
2015-01-16,Puno_Ciudad,4.27,18.85,11.56,68.8,0.0,630.3,12.5,0,Puno_Region_Puno_Ciudad,0.57,-1.23,-12.95,3.01,-1.47,-4.08,4.34,5480.0,248.7
2015-01-17,Puno_Ciudad,3.11,19.12,11.12,65.4,0.0,628.4,1.2,0,Puno_Region_Puno_Ciudad,-3.98,-5.57,-17.09,3.56,-2.38,6.01,6.46,5563.3,194.1
2015-01-18,Puno_Ciudad,6.38,24.47,15.43,72.4,4.2,631.2,1.4,0,Puno_Region_Puno_Ciudad,5.43,-9.56,-14.75,3.37,-4.29,4.93,6.54,5557.1,184.1
2015-01-19,Puno_Ciudad,3.28,20.9,12.09,74.7,0.0,635.3,1.9,0,Puno_Region_Puno_Ciudad,1.03,-4.97,-15.77,3.55,-4.29,2.23,4.84,5468.9,199.2
2015-01-20,Puno_Ciudad,1.98,13.55,7.76,77.1,4.0,629.9,2.9,0,Puno_Region_Puno_Ciudad,0.64,-5.67,-21.62,4.31,-0.53,3.81,3.84,5490.9,261.6
2015-01-21,Puno_Ciudad,9.12,26.58,17.85,81.8,10.6,629.9,1.3,0,Puno_Region_Puno_Ciudad,1.04,-5.28,-11.6,3.69,5.47,7.01,8.89,5455.9,169.4
2015-01-22,Puno_Ciudad,4.84,19.65,12.25,74.1,0.0,635.3,7.4,0,Puno_Region_Puno_Ciudad,5.0,-7.22,-13.16,3.19,-6.54,-0.56,6.57,5495.2,289.1
2015-01-23,Puno_Ciudad,5.52,20.74,13.13,56.2,0.0,634.8,9.3,0,Puno_Region_Puno_Ciudad,7.53,-6.19,-11.17,2.76,-5.16,12.45,13.48,5568.5,253.2
2015-01-24,Puno_Ciudad,1.74,16.96,9.35,65.3,0.0,637.9,3.6,0,Puno_Region_Puno_Ciudad,-4.56,-7.76,-7.21,2.9,2.73,-7.06,7.57,5471.1,186.0
2015-01-25,Puno_Ciudad,3.88,18.43,11.16,95.0,0.0,621.2,3.1,0,Puno_Region_Puno_Ciudad,0.37,-6.28,-12.73,3.36,-2.75,-0.05,2.75,5500.2,245.1
2015-01-26,Puno_Ciudad,5.46,24.03,14.75,77.2,9.4,634.5,0.6,0,Puno_Region_Puno_Ciudad,4.59,-6.16,-13.97,4.42,-5.86,8.21,10.09,5521.1,198.6
2015-01-27,Puno_Ciudad,2.24,16.99,9.62,93.7,0.0,633.0,1.1,0,Puno_Region_Puno_Ciudad,0.94,-6.09,-17.28,3.16,-0.47,-0.61,0.77,5529.5,225.6
2015-01-28,Puno_Ciudad,6.0,17.64,11.82,84.0,8.2,625.6,0.3,0,Puno_Region_Puno_Ciudad,4.07,-6.88,-11.17,4.19,-5.37,7.07,8.88,5439.2,228.4
2015-01-29,Puno_Ciudad,3.49,17.31,10.4,72.4,0.0,631.3,2.0,0,Puno_Region_Puno_Ciudad,0.99,-10.44,-16.71,4.43,-3.31,0.07,3.31,5566.5,202.3
2015-01-30,Puno_Ciudad,4.19,19.73,11.96,73.0,6.5,635.3,2.3,0,Puno_Region_Puno_Ciudad,-2.72,-8.02,-20.85,4.25,-2.79,-2.62,3.83,5441.9,249.8
2015-01-31,Puno_Ciudad,3.35,22.04,12.69,69.6,0.0,625.9,5.0,0,Puno_Region_Puno_Ciudad,-2.04,-10.34,-17.92,4.09,2.9,1.24,3.16,5514.7,257.3
